time,储能SOC(%)
2026-02-25 20:00:00,79.99
2026-02-25 20:00:15,79.98
2026-02-25 20:00:30,79.97
2026-02-25 20:00:45,79.96
2026-02-25 20:01:00,79.95
2026-02-25 20:01:15,79.93
2026-02-25 20:01:30,79.92
2026-02-25 20:01:45,79.91
2026-02-25 20:02:00,79.89
2026-02-25 20:02:15,79.88
2026-02-25 20:02:30,79.86
2026-02-25 20:02:45,79.85
2026-02-25 20:03:00,79.83
2026-02-25 20:03:15,79.82
2026-02-25 20:03:30,79.8
2026-02-25 20:03:45,79.78
2026-02-25 20:04:00,79.76
2026-02-25 20:04:15,79.75
2026-02-25 20:04:30,79.73
2026-02-25 20:04:45,79.71
2026-02-25 20:05:00,79.69
2026-02-25 20:05:15,79.67
2026-02-25 20:05:30,79.65
2026-02-25 20:05:45,79.62
2026-02-25 20:06:00,79.6
2026-02-25 20:06:15,79.58
2026-02-25 20:06:30,79.56
2026-02-25 20:06:45,79.53
2026-02-25 20:07:00,79.51
2026-02-25 20:07:15,79.48
2026-02-25 20:07:30,79.46
2026-02-25 20:07:45,79.43
2026-02-25 20:08:00,79.41
2026-02-25 20:08:15,79.38
2026-02-25 20:08:30,79.35
2026-02-25 20:08:45,79.32
2026-02-25 20:09:00,79.3
2026-02-25 20:09:15,79.27
2026-02-25 20:09:30,79.24
2026-02-25 20:09:45,79.21
2026-02-25 20:10:00,79.18
2026-02-25 20:10:15,79.15
2026-02-25 20:10:30,79.11
2026-02-25 20:10:45,79.08
2026-02-25 20:11:00,79.05
2026-02-25 20:11:15,79.02
2026-02-25 20:11:30,78.98
2026-02-25 20:11:45,78.95
2026-02-25 20:12:00,78.91
2026-02-25 20:12:15,78.88
2026-02-25 20:12:30,78.84
2026-02-25 20:12:45,78.8
2026-02-25 20:13:00,78.77
2026-02-25 20:13:15,78.73
2026-02-25 20:13:30,78.69
2026-02-25 20:13:45,78.65
2026-02-25 20:14:00,78.61
2026-02-25 20:14:15,78.57
2026-02-25 20:14:30,78.53
2026-02-25 20:14:45,78.49
2026-02-25 20:15:00,78.44
2026-02-25 20:15:15,78.4
2026-02-25 20:15:30,78.36
2026-02-25 20:15:45,78.31
2026-02-25 20:16:00,78.27
2026-02-25 20:16:15,78.22
2026-02-25 20:16:30,78.18
2026-02-25 20:16:45,78.13
2026-02-25 20:17:00,78.08
2026-02-25 20:17:15,78.03
2026-02-25 20:17:30,77.98
2026-02-25 20:17:45,77.94
2026-02-25 20:18:00,77.89
2026-02-25 20:18:15,77.83
2026-02-25 20:18:30,77.78
2026-02-25 20:18:45,77.73
2026-02-25 20:19:00,77.68
2026-02-25 20:19:15,77.63
2026-02-25 20:19:30,77.57
2026-02-25 20:19:45,77.52
2026-02-25 20:20:00,77.47
2026-02-25 20:20:15,77.41
2026-02-25 20:20:30,77.35
2026-02-25 20:20:45,77.3
2026-02-25 20:21:00,77.24
2026-02-25 20:21:15,77.18
2026-02-25 20:21:30,77.12
2026-02-25 20:21:45,77.07
2026-02-25 20:22:00,77.01
2026-02-25 20:22:15,76.95
2026-02-25 20:22:30,76.89
2026-02-25 20:22:45,76.82
2026-02-25 20:23:00,76.76
2026-02-25 20:23:15,76.7
2026-02-25 20:23:30,76.64
2026-02-25 20:23:45,76.57
2026-02-25 20:24:00,76.51
2026-02-25 20:24:15,76.44
2026-02-25 20:24:30,76.38
2026-02-25 20:24:45,76.31
2026-02-25 20:25:00,76.24
2026-02-25 20:25:15,76.18
2026-02-25 20:25:30,76.11
2026-02-25 20:25:45,76.04
2026-02-25 20:26:00,75.97
2026-02-25 20:26:15,75.9
2026-02-25 20:26:30,75.83
2026-02-25 20:26:45,75.76
2026-02-25 20:27:00,75.69
2026-02-25 20:27:15,75.62
2026-02-25 20:27:30,75.55
2026-02-25 20:27:45,75.48
2026-02-25 20:28:00,75.41
2026-02-25 20:28:15,75.34
2026-02-25 20:28:30,75.26
2026-02-25 20:28:45,75.19
2026-02-25 20:29:00,75.12
2026-02-25 20:29:15,75.04
2026-02-25 20:29:30,74.97
2026-02-25 20:29:45,74.9
2026-02-25 20:30:00,74.82
2026-02-25 20:30:15,74.74
2026-02-25 20:30:30,74.67
2026-02-25 20:30:45,74.59
2026-02-25 20:31:00,74.52
2026-02-25 20:31:15,74.44
2026-02-25 20:31:30,74.36
2026-02-25 20:31:45,74.29
2026-02-25 20:32:00,74.21
2026-02-25 20:32:15,74.13
2026-02-25 20:32:30,74.05
2026-02-25 20:32:45,73.97
2026-02-25 20:33:00,73.89
2026-02-25 20:33:15,73.81
2026-02-25 20:33:30,73.73
2026-02-25 20:33:45,73.65
2026-02-25 20:34:00,73.57
2026-02-25 20:34:15,73.49
2026-02-25 20:34:30,73.4
2026-02-25 20:34:45,73.32
2026-02-25 20:35:00,73.24
2026-02-25 20:35:15,73.16
2026-02-25 20:35:30,73.07
2026-02-25 20:35:45,72.99
2026-02-25 20:36:00,72.9
2026-02-25 20:36:15,72.82
2026-02-25 20:36:30,72.73
2026-02-25 20:36:45,72.65
2026-02-25 20:37:00,72.56
2026-02-25 20:37:15,72.48
2026-02-25 20:37:30,72.39
2026-02-25 20:37:45,72.3
2026-02-25 20:38:00,72.22
2026-02-25 20:38:15,72.13
2026-02-25 20:38:30,72.04
2026-02-25 20:38:45,71.95
2026-02-25 20:39:00,71.86
2026-02-25 20:39:15,71.77
2026-02-25 20:39:30,71.68
2026-02-25 20:39:45,71.59
2026-02-25 20:40:00,71.5
2026-02-25 20:40:15,71.41
2026-02-25 20:40:30,71.32
2026-02-25 20:40:45,71.23
2026-02-25 20:41:00,71.14
2026-02-25 20:41:15,71.05
2026-02-25 20:41:30,70.95
2026-02-25 20:41:45,70.86
2026-02-25 20:42:00,70.77
2026-02-25 20:42:15,70.68
2026-02-25 20:42:30,70.58
2026-02-25 20:42:45,70.49
2026-02-25 20:43:00,70.4
2026-02-25 20:43:15,70.3
2026-02-25 20:43:30,70.21
2026-02-25 20:43:45,70.12
2026-02-25 20:44:00,70.02
2026-02-25 20:44:15,69.93
2026-02-25 20:44:30,69.83
2026-02-25 20:44:45,69.74
2026-02-25 20:45:00,69.64
2026-02-25 20:45:15,69.55
2026-02-25 20:45:30,69.45
2026-02-25 20:45:45,69.36
2026-02-25 20:46:00,69.26
2026-02-25 20:46:15,69.17
2026-02-25 20:46:30,69.07
2026-02-25 20:46:45,68.97
2026-02-25 20:47:00,68.88
2026-02-25 20:47:15,68.78
2026-02-25 20:47:30,68.68
2026-02-25 20:47:45,68.59
2026-02-25 20:48:00,68.49
2026-02-25 20:48:15,68.39
2026-02-25 20:48:30,68.3
2026-02-25 20:48:45,68.2
2026-02-25 20:49:00,68.1
2026-02-25 20:49:15,68.0
2026-02-25 20:49:30,67.9
2026-02-25 20:49:45,67.8
2026-02-25 20:50:00,67.71
2026-02-25 20:50:15,67.61
2026-02-25 20:50:30,67.51
2026-02-25 20:50:45,67.41
2026-02-25 20:51:00,67.31
2026-02-25 20:51:15,67.21
2026-02-25 20:51:30,67.11
2026-02-25 20:51:45,67.01
2026-02-25 20:52:00,66.91
2026-02-25 20:52:15,66.81
2026-02-25 20:52:30,66.71
2026-02-25 20:52:45,66.6
2026-02-25 20:53:00,66.5
2026-02-25 20:53:15,66.4
2026-02-25 20:53:30,66.3
2026-02-25 20:53:45,66.2
2026-02-25 20:54:00,66.1
2026-02-25 20:54:15,65.99
2026-02-25 20:54:30,65.89
2026-02-25 20:54:45,65.79
2026-02-25 20:55:00,65.69
2026-02-25 20:55:15,65.58
2026-02-25 20:55:30,65.48
2026-02-25 20:55:45,65.38
2026-02-25 20:56:00,65.27
2026-02-25 20:56:15,65.17
2026-02-25 20:56:30,65.07
2026-02-25 20:56:45,64.96
2026-02-25 20:57:00,64.86
2026-02-25 20:57:15,64.76
2026-02-25 20:57:30,64.65
2026-02-25 20:57:45,64.55
2026-02-25 20:58:00,64.45
2026-02-25 20:58:15,64.34
2026-02-25 20:58:30,64.24
2026-02-25 20:58:45,64.13
2026-02-25 20:59:00,64.03
2026-02-25 20:59:15,63.93
2026-02-25 20:59:30,63.82
2026-02-25 20:59:45,63.72
2026-02-25 21:00:00,63.61
2026-02-25 21:00:15,63.51
2026-02-25 21:00:30,63.4
2026-02-25 21:00:45,63.3
2026-02-25 21:01:00,63.2
2026-02-25 21:01:15,63.09
2026-02-25 21:01:30,62.99
2026-02-25 21:01:45,62.88
2026-02-25 21:02:00,62.78
2026-02-25 21:02:15,62.67
2026-02-25 21:02:30,62.57
2026-02-25 21:02:45,62.46
2026-02-25 21:03:00,62.36
2026-02-25 21:03:15,62.25
2026-02-25 21:03:30,62.15
2026-02-25 21:03:45,62.04
2026-02-25 21:04:00,61.94
2026-02-25 21:04:15,61.83
2026-02-25 21:04:30,61.73
2026-02-25 21:04:45,61.62
2026-02-25 21:05:00,61.52
2026-02-25 21:05:15,61.41
2026-02-25 21:05:30,61.3
2026-02-25 21:05:45,61.2
2026-02-25 21:06:00,61.09
2026-02-25 21:06:15,60.99
2026-02-25 21:06:30,60.88
2026-02-25 21:06:45,60.78
2026-02-25 21:07:00,60.67
2026-02-25 21:07:15,60.56
2026-02-25 21:07:30,60.46
2026-02-25 21:07:45,60.35
2026-02-25 21:08:00,60.24
2026-02-25 21:08:15,60.14
2026-02-25 21:08:30,60.03
2026-02-25 21:08:45,59.93
2026-02-25 21:09:00,59.82
2026-02-25 21:09:15,59.71
2026-02-25 21:09:30,59.61
2026-02-25 21:09:45,59.5
2026-02-25 21:10:00,59.39
2026-02-25 21:10:15,59.29
2026-02-25 21:10:30,59.18
2026-02-25 21:10:45,59.07
2026-02-25 21:11:00,58.97
2026-02-25 21:11:15,58.86
2026-02-25 21:11:30,58.75
2026-02-25 21:11:45,58.65
2026-02-25 21:12:00,58.54
2026-02-25 21:12:15,58.43
2026-02-25 21:12:30,58.33
2026-02-25 21:12:45,58.22
2026-02-25 21:13:00,58.11
2026-02-25 21:13:15,58.01
2026-02-25 21:13:30,57.9
2026-02-25 21:13:45,57.8
2026-02-25 21:14:00,57.69
2026-02-25 21:14:15,57.58
2026-02-25 21:14:30,57.48
2026-02-25 21:14:45,57.37
2026-02-25 21:15:00,57.26
2026-02-25 21:15:15,57.16
2026-02-25 21:15:30,57.05
2026-02-25 21:15:45,56.95
2026-02-25 21:16:00,56.84
2026-02-25 21:16:15,56.74
2026-02-25 21:16:30,56.63
2026-02-25 21:16:45,56.52
2026-02-25 21:17:00,56.42
2026-02-25 21:17:15,56.31
2026-02-25 21:17:30,56.21
2026-02-25 21:17:45,56.1
2026-02-25 21:18:00,56.0
