time,正向有功总电能,反向有功总电能
2026-02-25 20:00:00,1.25,0.0
2026-02-25 20:00:15,2.5,0.0
2026-02-25 20:00:30,3.75,0.0
2026-02-25 20:00:45,5.0,0.0
2026-02-25 20:01:00,6.25,0.0
2026-02-25 20:01:15,7.5,0.0
2026-02-25 20:01:30,8.75,0.0
2026-02-25 20:01:45,10.0,0.0
2026-02-25 20:02:00,11.25,0.0
2026-02-25 20:02:15,12.5,0.0
2026-02-25 20:02:30,13.75,0.0
2026-02-25 20:02:45,15.0,0.0
2026-02-25 20:03:00,16.25,0.0
2026-02-25 20:03:15,17.5,0.0
2026-02-25 20:03:30,18.75,0.0
2026-02-25 20:03:45,20.0,0.0
2026-02-25 20:04:00,21.25,0.0
2026-02-25 20:04:15,22.5,0.0
2026-02-25 20:04:30,23.75,0.0
2026-02-25 20:04:45,25.0,0.0
2026-02-25 20:05:00,26.25,0.0
2026-02-25 20:05:15,27.5,0.0
2026-02-25 20:05:30,28.75,0.0
2026-02-25 20:05:45,30.0,0.0
2026-02-25 20:06:00,31.25,0.0
2026-02-25 20:06:15,32.5,0.0
2026-02-25 20:06:30,33.75,0.0
2026-02-25 20:06:45,35.0,0.0
2026-02-25 20:07:00,36.25,0.0
2026-02-25 20:07:15,37.5,0.0
2026-02-25 20:07:30,38.75,0.0
2026-02-25 20:07:45,40.0,0.0
2026-02-25 20:08:00,41.25,0.0
2026-02-25 20:08:15,42.5,0.0
2026-02-25 20:08:30,43.75,0.0
2026-02-25 20:08:45,45.0,0.0
2026-02-25 20:09:00,46.25,0.0
2026-02-25 20:09:15,47.5,0.0
2026-02-25 20:09:30,48.75,0.0
2026-02-25 20:09:45,50.0,0.0
2026-02-25 20:10:00,51.25,0.0
2026-02-25 20:10:15,52.5,0.0
2026-02-25 20:10:30,53.75,0.0
2026-02-25 20:10:45,55.0,0.0
2026-02-25 20:11:00,56.25,0.0
2026-02-25 20:11:15,57.5,0.0
2026-02-25 20:11:30,58.75,0.0
2026-02-25 20:11:45,60.0,0.0
2026-02-25 20:12:00,61.25,0.0
2026-02-25 20:12:15,62.5,0.0
2026-02-25 20:12:30,63.75,0.0
2026-02-25 20:12:45,65.0,0.0
2026-02-25 20:13:00,66.25,0.0
2026-02-25 20:13:15,67.5,0.0
2026-02-25 20:13:30,68.75,0.0
2026-02-25 20:13:45,70.0,0.0
2026-02-25 20:14:00,71.25,0.0
2026-02-25 20:14:15,72.5,0.0
2026-02-25 20:14:30,73.75,0.0
2026-02-25 20:14:45,75.0,0.0
2026-02-25 20:15:00,76.25,0.0
2026-02-25 20:15:15,77.5,0.0
2026-02-25 20:15:30,78.75,0.0
2026-02-25 20:15:45,80.0,0.0
2026-02-25 20:16:00,81.25,0.0
2026-02-25 20:16:15,82.5,0.0
2026-02-25 20:16:30,83.75,0.0
2026-02-25 20:16:45,85.0,0.0
2026-02-25 20:17:00,86.25,0.0
2026-02-25 20:17:15,87.5,0.0
2026-02-25 20:17:30,88.75,0.0
2026-02-25 20:17:45,90.0,0.0
2026-02-25 20:18:00,91.25,0.0
2026-02-25 20:18:15,92.5,0.0
2026-02-25 20:18:30,93.75,0.0
2026-02-25 20:18:45,95.0,0.0
2026-02-25 20:19:00,96.25,0.0
2026-02-25 20:19:15,97.5,0.0
2026-02-25 20:19:30,98.75,0.0
2026-02-25 20:19:45,100.0,0.0
