time,正向有功总电能,反向有功总电能
2026-02-25 20:00:00,0.083,0.0
2026-02-25 20:00:15,0.167,0.0
2026-02-25 20:00:30,0.25,0.0
2026-02-25 20:00:45,0.333,0.0
2026-02-25 20:01:00,0.433,0.0
2026-02-25 20:01:15,0.533,0.0
2026-02-25 20:01:30,0.633,0.0
2026-02-25 20:01:45,0.733,0.0
2026-02-25 20:02:00,0.85,0.0
2026-02-25 20:02:15,0.967,0.0
2026-02-25 20:02:30,1.083,0.0
2026-02-25 20:02:45,1.2,0.0
2026-02-25 20:03:00,1.333,0.0
2026-02-25 20:03:15,1.467,0.0
2026-02-25 20:03:30,1.6,0.0
2026-02-25 20:03:45,1.733,0.0
2026-02-25 20:04:00,1.883,0.0
2026-02-25 20:04:15,2.033,0.0
2026-02-25 20:04:30,2.183,0.0
2026-02-25 20:04:45,2.333,0.0
2026-02-25 20:05:00,2.5,0.0
2026-02-25 20:05:15,2.667,0.0
2026-02-25 20:05:30,2.833,0.0
2026-02-25 20:05:45,3.0,0.0
2026-02-25 20:06:00,3.183,0.0
2026-02-25 20:06:15,3.367,0.0
2026-02-25 20:06:30,3.55,0.0
2026-02-25 20:06:45,3.733,0.0
2026-02-25 20:07:00,3.933,0.0
2026-02-25 20:07:15,4.133,0.0
2026-02-25 20:07:30,4.333,0.0
2026-02-25 20:07:45,4.533,0.0
2026-02-25 20:08:00,4.75,0.0
2026-02-25 20:08:15,4.967,0.0
2026-02-25 20:08:30,5.183,0.0
2026-02-25 20:08:45,5.4,0.0
2026-02-25 20:09:00,5.633,0.0
2026-02-25 20:09:15,5.867,0.0
2026-02-25 20:09:30,6.1,0.0
2026-02-25 20:09:45,6.333,0.0
2026-02-25 20:10:00,6.583,0.0
2026-02-25 20:10:15,6.833,0.0
2026-02-25 20:10:30,7.083,0.0
2026-02-25 20:10:45,7.333,0.0
2026-02-25 20:11:00,7.603,0.0
2026-02-25 20:11:15,7.872,0.0
2026-02-25 20:11:30,8.142,0.0
2026-02-25 20:11:45,8.411,0.0
2026-02-25 20:12:00,8.7,0.0
2026-02-25 20:12:15,8.989,0.0
2026-02-25 20:12:30,9.278,0.0
2026-02-25 20:12:45,9.567,0.0
2026-02-25 20:13:00,9.875,0.0
2026-02-25 20:13:15,10.183,0.0
2026-02-25 20:13:30,10.492,0.0
2026-02-25 20:13:45,10.8,0.0
2026-02-25 20:14:00,11.128,0.0
2026-02-25 20:14:15,11.456,0.0
2026-02-25 20:14:30,11.783,0.0
2026-02-25 20:14:45,12.111,0.0
2026-02-25 20:15:00,12.458,0.0
2026-02-25 20:15:15,12.806,0.0
2026-02-25 20:15:30,13.153,0.0
2026-02-25 20:15:45,13.5,0.0
2026-02-25 20:16:00,13.867,0.0
2026-02-25 20:16:15,14.233,0.0
2026-02-25 20:16:30,14.6,0.0
2026-02-25 20:16:45,14.967,0.0
2026-02-25 20:17:00,15.353,0.0
2026-02-25 20:17:15,15.739,0.0
2026-02-25 20:17:30,16.125,0.0
2026-02-25 20:17:45,16.511,0.0
2026-02-25 20:18:00,16.917,0.0
2026-02-25 20:18:15,17.322,0.0
2026-02-25 20:18:30,17.728,0.0
2026-02-25 20:18:45,18.133,0.0
2026-02-25 20:19:00,18.558,0.0
2026-02-25 20:19:15,18.983,0.0
2026-02-25 20:19:30,19.408,0.0
2026-02-25 20:19:45,19.833,0.0
2026-02-25 20:20:00,20.278,0.0
2026-02-25 20:20:15,20.722,0.0
2026-02-25 20:20:30,21.167,0.0
2026-02-25 20:20:45,21.611,0.0
2026-02-25 20:21:00,22.075,0.0
2026-02-25 20:21:15,22.539,0.0
2026-02-25 20:21:30,23.003,0.0
2026-02-25 20:21:45,23.467,0.0
2026-02-25 20:22:00,23.95,0.0
2026-02-25 20:22:15,24.433,0.0
2026-02-25 20:22:30,24.917,0.0
2026-02-25 20:22:45,25.4,0.0
2026-02-25 20:23:00,25.903,0.0
2026-02-25 20:23:15,26.406,0.0
2026-02-25 20:23:30,26.908,0.0
2026-02-25 20:23:45,27.411,0.0
2026-02-25 20:24:00,27.933,0.0
2026-02-25 20:24:15,28.456,0.0
2026-02-25 20:24:30,28.978,0.0
2026-02-25 20:24:45,29.5,0.0
2026-02-25 20:25:00,30.042,0.0
2026-02-25 20:25:15,30.583,0.0
2026-02-25 20:25:30,31.125,0.0
2026-02-25 20:25:45,31.667,0.0
2026-02-25 20:26:00,32.221,0.0
2026-02-25 20:26:15,32.775,0.0
2026-02-25 20:26:30,33.329,0.0
2026-02-25 20:26:45,33.883,0.0
2026-02-25 20:27:00,34.45,0.0
2026-02-25 20:27:15,35.017,0.0
2026-02-25 20:27:30,35.583,0.0
2026-02-25 20:27:45,36.15,0.0
2026-02-25 20:28:00,36.729,0.0
2026-02-25 20:28:15,37.308,0.0
2026-02-25 20:28:30,37.888,0.0
2026-02-25 20:28:45,38.467,0.0
2026-02-25 20:29:00,39.058,0.0
2026-02-25 20:29:15,39.65,0.0
2026-02-25 20:29:30,40.242,0.0
2026-02-25 20:29:45,40.833,0.0
2026-02-25 20:30:00,41.438,0.0
2026-02-25 20:30:15,42.042,0.0
2026-02-25 20:30:30,42.646,0.0
2026-02-25 20:30:45,43.25,0.0
2026-02-25 20:31:00,43.867,0.0
2026-02-25 20:31:15,44.483,0.0
2026-02-25 20:31:30,45.1,0.0
2026-02-25 20:31:45,45.717,0.0
2026-02-25 20:32:00,46.346,0.0
2026-02-25 20:32:15,46.975,0.0
2026-02-25 20:32:30,47.604,0.0
2026-02-25 20:32:45,48.233,0.0
2026-02-25 20:33:00,48.875,0.0
2026-02-25 20:33:15,49.517,0.0
2026-02-25 20:33:30,50.158,0.0
2026-02-25 20:33:45,50.8,0.0
2026-02-25 20:34:00,51.454,0.0
2026-02-25 20:34:15,52.108,0.0
2026-02-25 20:34:30,52.763,0.0
2026-02-25 20:34:45,53.417,0.0
2026-02-25 20:35:00,54.083,0.0
2026-02-25 20:35:15,54.75,0.0
2026-02-25 20:35:30,55.417,0.0
2026-02-25 20:35:45,56.083,0.0
2026-02-25 20:36:00,56.763,0.0
2026-02-25 20:36:15,57.442,0.0
2026-02-25 20:36:30,58.121,0.0
2026-02-25 20:36:45,58.8,0.0
2026-02-25 20:37:00,59.492,0.0
2026-02-25 20:37:15,60.183,0.0
2026-02-25 20:37:30,60.875,0.0
2026-02-25 20:37:45,61.567,0.0
2026-02-25 20:38:00,62.271,0.0
2026-02-25 20:38:15,62.975,0.0
2026-02-25 20:38:30,63.679,0.0
2026-02-25 20:38:45,64.383,0.0
2026-02-25 20:39:00,65.1,0.0
2026-02-25 20:39:15,65.817,0.0
2026-02-25 20:39:30,66.533,0.0
2026-02-25 20:39:45,67.25,0.0
2026-02-25 20:40:00,67.979,0.0
2026-02-25 20:40:15,68.708,0.0
2026-02-25 20:40:30,69.438,0.0
2026-02-25 20:40:45,70.167,0.0
2026-02-25 20:41:00,70.902,0.0
2026-02-25 20:41:15,71.638,0.0
2026-02-25 20:41:30,72.373,0.0
2026-02-25 20:41:45,73.109,0.0
2026-02-25 20:42:00,73.851,0.0
2026-02-25 20:42:15,74.593,0.0
2026-02-25 20:42:30,75.335,0.0
2026-02-25 20:42:45,76.077,0.0
2026-02-25 20:43:00,76.825,0.0
2026-02-25 20:43:15,77.573,0.0
2026-02-25 20:43:30,78.322,0.0
2026-02-25 20:43:45,79.07,0.0
2026-02-25 20:44:00,79.825,0.0
2026-02-25 20:44:15,80.579,0.0
2026-02-25 20:44:30,81.334,0.0
2026-02-25 20:44:45,82.089,0.0
2026-02-25 20:45:00,82.85,0.0
2026-02-25 20:45:15,83.611,0.0
2026-02-25 20:45:30,84.372,0.0
2026-02-25 20:45:45,85.133,0.0
2026-02-25 20:46:00,85.901,0.0
2026-02-25 20:46:15,86.668,0.0
2026-02-25 20:46:30,87.436,0.0
2026-02-25 20:46:45,88.203,0.0
2026-02-25 20:47:00,88.977,0.0
2026-02-25 20:47:15,89.751,0.0
2026-02-25 20:47:30,90.525,0.0
2026-02-25 20:47:45,91.299,0.0
2026-02-25 20:48:00,92.079,0.0
2026-02-25 20:48:15,92.859,0.0
2026-02-25 20:48:30,93.64,0.0
2026-02-25 20:48:45,94.42,0.0
2026-02-25 20:49:00,95.207,0.0
2026-02-25 20:49:15,95.993,0.0
2026-02-25 20:49:30,96.78,0.0
2026-02-25 20:49:45,97.567,0.0
2026-02-25 20:50:00,98.36,0.0
2026-02-25 20:50:15,99.153,0.0
2026-02-25 20:50:30,99.946,0.0
2026-02-25 20:50:45,100.739,0.0
2026-02-25 20:51:00,101.538,0.0
2026-02-25 20:51:15,102.338,0.0
2026-02-25 20:51:30,103.137,0.0
2026-02-25 20:51:45,103.937,0.0
2026-02-25 20:52:00,104.743,0.0
2026-02-25 20:52:15,105.548,0.0
2026-02-25 20:52:30,106.354,0.0
2026-02-25 20:52:45,107.16,0.0
2026-02-25 20:53:00,107.972,0.0
2026-02-25 20:53:15,108.784,0.0
2026-02-25 20:53:30,109.597,0.0
2026-02-25 20:53:45,110.409,0.0
2026-02-25 20:54:00,111.228,0.0
2026-02-25 20:54:15,112.046,0.0
2026-02-25 20:54:30,112.865,0.0
2026-02-25 20:54:45,113.683,0.0
2026-02-25 20:55:00,114.508,0.0
2026-02-25 20:55:15,115.333,0.0
2026-02-25 20:55:30,116.158,0.0
2026-02-25 20:55:45,116.983,0.0
2026-02-25 20:56:00,117.81,0.0
2026-02-25 20:56:15,118.637,0.0
2026-02-25 20:56:30,119.464,0.0
2026-02-25 20:56:45,120.291,0.0
2026-02-25 20:57:00,121.12,0.0
2026-02-25 20:57:15,121.949,0.0
2026-02-25 20:57:30,122.778,0.0
2026-02-25 20:57:45,123.607,0.0
2026-02-25 20:58:00,124.438,0.0
2026-02-25 20:58:15,125.268,0.0
2026-02-25 20:58:30,126.099,0.0
2026-02-25 20:58:45,126.93,0.0
2026-02-25 20:59:00,127.763,0.0
2026-02-25 20:59:15,128.596,0.0
2026-02-25 20:59:30,129.428,0.0
2026-02-25 20:59:45,130.261,0.0
2026-02-25 21:00:00,131.096,0.0
2026-02-25 21:00:15,131.931,0.0
2026-02-25 21:00:30,132.765,0.0
2026-02-25 21:00:45,133.6,0.0
2026-02-25 21:01:00,134.437,0.0
2026-02-25 21:01:15,135.273,0.0
2026-02-25 21:01:30,136.11,0.0
2026-02-25 21:01:45,136.947,0.0
2026-02-25 21:02:00,137.785,0.0
2026-02-25 21:02:15,138.624,0.0
2026-02-25 21:02:30,139.462,0.0
2026-02-25 21:02:45,140.301,0.0
2026-02-25 21:03:00,141.142,0.0
2026-02-25 21:03:15,141.982,0.0
2026-02-25 21:03:30,142.823,0.0
2026-02-25 21:03:45,143.663,0.0
2026-02-25 21:04:00,144.506,0.0
2026-02-25 21:04:15,145.348,0.0
2026-02-25 21:04:30,146.191,0.0
2026-02-25 21:04:45,147.033,0.0
2026-02-25 21:05:00,147.878,0.0
2026-02-25 21:05:15,148.722,0.0
2026-02-25 21:05:30,149.567,0.0
2026-02-25 21:05:45,150.411,0.0
2026-02-25 21:06:00,151.258,0.0
2026-02-25 21:06:15,152.104,0.0
2026-02-25 21:06:30,152.95,0.0
2026-02-25 21:06:45,153.797,0.0
2026-02-25 21:07:00,154.645,0.0
2026-02-25 21:07:15,155.493,0.0
2026-02-25 21:07:30,156.342,0.0
2026-02-25 21:07:45,157.19,0.0
2026-02-25 21:08:00,158.04,0.0
2026-02-25 21:08:15,158.891,0.0
2026-02-25 21:08:30,159.741,0.0
