time,电网功率(kW),正向有功总电能,反向有功总电能
2026-02-26 00:00:00,25.0,0.4167,0.0
2026-02-26 00:01:00,25.0,0.8333,0.0
2026-02-26 00:02:00,25.0,1.25,0.0
2026-02-26 00:03:00,25.0,1.6667,0.0
2026-02-26 00:04:00,25.0,2.0833,0.0
2026-02-26 00:05:00,25.0,2.5,0.0
2026-02-26 00:06:00,25.0,2.9167,0.0
2026-02-26 00:07:00,25.0,3.3333,0.0
2026-02-26 00:08:00,25.0,3.75,0.0
2026-02-26 00:09:00,25.0,4.1667,0.0
2026-02-26 00:10:00,25.0,4.5833,0.0
2026-02-26 00:11:00,25.0,5.0,0.0
2026-02-26 00:12:00,25.0,5.4167,0.0
2026-02-26 00:13:00,25.0,5.8333,0.0
2026-02-26 00:14:00,25.0,6.25,0.0
2026-02-26 00:15:00,25.0,6.6667,0.0
2026-02-26 00:16:00,25.0,7.0833,0.0
2026-02-26 00:17:00,25.0,7.5,0.0
2026-02-26 00:18:00,25.0,7.9167,0.0
2026-02-26 00:19:00,25.0,8.3333,0.0
2026-02-26 00:20:00,25.0,8.75,0.0
2026-02-26 00:21:00,25.0,9.1667,0.0
2026-02-26 00:22:00,25.0,9.5833,0.0
2026-02-26 00:23:00,25.0,10.0,0.0
2026-02-26 00:24:00,25.0,10.4167,0.0
2026-02-26 00:25:00,25.0,10.8333,0.0
2026-02-26 00:26:00,25.0,11.25,0.0
2026-02-26 00:27:00,25.0,11.6667,0.0
2026-02-26 00:28:00,25.0,12.0833,0.0
2026-02-26 00:29:00,25.0,12.5,0.0
2026-02-26 00:30:00,25.0,12.9167,0.0
2026-02-26 00:31:00,25.0,13.3333,0.0
2026-02-26 00:32:00,25.0,13.75,0.0
2026-02-26 00:33:00,25.0,14.1667,0.0
2026-02-26 00:34:00,25.0,14.5833,0.0
2026-02-26 00:35:00,25.0,15.0,0.0
2026-02-26 00:36:00,25.0,15.4167,0.0
2026-02-26 00:37:00,25.0,15.8333,0.0
2026-02-26 00:38:00,25.0,16.25,0.0
2026-02-26 00:39:00,25.0,16.6667,0.0
2026-02-26 00:40:00,25.0,17.0833,0.0
2026-02-26 00:41:00,25.0,17.5,0.0
2026-02-26 00:42:00,25.0,17.9167,0.0
2026-02-26 00:43:00,25.0,18.3333,0.0
2026-02-26 00:44:00,25.0,18.75,0.0
2026-02-26 00:45:00,25.0,19.1667,0.0
2026-02-26 00:46:00,25.0,19.5833,0.0
2026-02-26 00:47:00,25.0,20.0,0.0
2026-02-26 00:48:00,25.0,20.4167,0.0
2026-02-26 00:49:00,25.0,20.8333,0.0
2026-02-26 00:50:00,25.0,21.25,0.0
2026-02-26 00:51:00,25.0,21.6667,0.0
2026-02-26 00:52:00,25.0,22.0833,0.0
2026-02-26 00:53:00,25.0,22.5,0.0
2026-02-26 00:54:00,25.0,22.9167,0.0
2026-02-26 00:55:00,25.0,23.3333,0.0
2026-02-26 00:56:00,25.0,23.75,0.0
2026-02-26 00:57:00,25.0,24.1667,0.0
2026-02-26 00:58:00,25.0,24.5833,0.0
2026-02-26 00:59:00,25.0,25.0,0.0
2026-02-26 01:00:00,25.0,25.4167,0.0
2026-02-26 01:01:00,25.0,25.8333,0.0
2026-02-26 01:02:00,25.0,26.25,0.0
2026-02-26 01:03:00,25.0,26.6667,0.0
2026-02-26 01:04:00,25.0,27.0833,0.0
2026-02-26 01:05:00,25.0,27.5,0.0
2026-02-26 01:06:00,25.0,27.9167,0.0
2026-02-26 01:07:00,25.0,28.3333,0.0
2026-02-26 01:08:00,25.0,28.75,0.0
2026-02-26 01:09:00,25.0,29.1667,0.0
2026-02-26 01:10:00,25.0,29.5833,0.0
2026-02-26 01:11:00,25.0,30.0,0.0
2026-02-26 01:12:00,25.0,30.4167,0.0
2026-02-26 01:13:00,25.0,30.8333,0.0
2026-02-26 01:14:00,25.0,31.25,0.0
2026-02-26 01:15:00,25.0,31.6667,0.0
2026-02-26 01:16:00,25.0,32.0833,0.0
2026-02-26 01:17:00,25.0,32.5,0.0
2026-02-26 01:18:00,25.0,32.9167,0.0
2026-02-26 01:19:00,25.0,33.3333,0.0
2026-02-26 01:20:00,25.0,33.75,0.0
2026-02-26 01:21:00,25.0,34.1667,0.0
2026-02-26 01:22:00,25.0,34.5833,0.0
