time,电网总电能,储能总电能,储能SOC(%),虚拟负载电能,计算储能功率,计算电网功率,计算负载功率
2026-02-25 20:00:00,1.25,0.083,79.99,1.333,,0.0,0.0
2026-02-25 20:01:00,6.25,0.433,79.95,6.683,21.0,300.0,321.0
2026-02-25 20:02:00,11.25,0.85,79.89,12.1,25.02,300.0,323.01
2026-02-25 20:03:00,16.25,1.333,79.83,17.583,28.98,300.0,325.0
2026-02-25 20:04:00,21.25,1.883,79.76,23.133,33.0,300.0,327.0
2026-02-25 20:05:00,26.25,2.5,79.69,28.75,37.019999999999996,300.0,329.004
2026-02-25 20:06:00,31.25,3.183,79.6,34.433,40.97999999999999,300.0,331.0
2026-02-25 20:07:00,36.25,3.933,79.51,40.183,45.0,300.0,333.0
2026-02-25 20:08:00,41.25,4.75,79.41,46.0,49.02000000000001,300.0,335.0025
2026-02-25 20:09:00,46.25,5.633,79.3,51.883,52.980000000000004,300.0,337.00000000000006
2026-02-25 20:10:00,51.25,6.583,79.18,57.833,57.000000000000014,300.0,339.0
2026-02-25 20:11:00,56.25,7.603,79.05,63.853,61.199999999999974,300.0,341.01818181818186
2026-02-25 20:12:00,61.25,8.7,78.91,69.95,65.81999999999996,300.0,343.08500000000004
2026-02-25 20:13:00,66.25,9.875,78.77,76.125,70.50000000000004,300.0,345.1938461538462
2026-02-25 20:14:00,71.25,11.128,78.61,82.378,75.18,300.0,347.3357142857143
2026-02-25 20:15:00,76.25,12.458,78.44,88.708,79.80000000000001,300.0,349.5
2026-02-25 20:16:00,81.25,13.867,78.27,95.117,84.54000000000005,300.0,351.69
2026-02-25 20:17:00,86.25,15.353,78.08,101.603,89.15999999999994,300.0,353.8941176470588
2026-02-25 20:18:00,91.25,16.917,77.89,108.167,93.84000000000012,300.0,356.11333333333334
2026-02-25 20:19:00,96.25,18.558,77.68,114.80799999999999,98.4599999999999,300.0,358.3421052631579
2026-02-25 20:20:00,101.25,20.278,77.47,121.52799999999999,103.19999999999993,300.0,360.585
2026-02-25 20:21:00,106.25,22.075,77.24,128.325,107.82000000000004,300.0,362.83428571428567
2026-02-25 20:22:00,111.25,23.95,77.01,135.2,112.5,300.0,365.09181818181816
2026-02-25 20:23:00,116.25,25.903,76.76,142.153,117.17999999999996,300.0,367.3565217391304
2026-02-25 20:24:00,121.25,27.933,76.51,149.183,121.80000000000007,300.0,369.625
2026-02-25 20:25:00,126.25,30.042,76.24,156.292,126.5400000000001,300.0,371.90160000000003
2026-02-25 20:26:00,131.25,32.221,75.97,163.471,130.7399999999997,300.0,374.1646153846154
2026-02-25 20:27:00,136.25,34.45,75.69,170.7,133.74000000000038,300.0,376.3711111111111
2026-02-25 20:28:00,141.25,36.729,75.41,177.97899999999998,136.73999999999978,300.0,378.5271428571428
2026-02-25 20:29:00,146.25,39.058,75.12,185.308,139.74000000000004,300.0,380.63793103448273
2026-02-25 20:30:00,151.25,41.438,74.82,192.688,142.80000000000015,300.0,442.7999999999997
2026-02-25 20:31:00,156.25,43.867,74.52,200.117,145.7399999999997,300.0,445.7400000000001
2026-02-25 20:32:00,161.25,46.346,74.21,207.596,148.73999999999995,300.0,447.24000000000046
2026-02-25 20:33:00,166.25,48.875,73.89,215.125,151.7400000000002,300.0,448.74000000000024
2026-02-25 20:34:00,171.25,51.454,73.57,222.704,154.74000000000004,300.0,450.2400000000003
2026-02-25 20:35:00,176.25,54.083,73.24,230.333,157.73999999999987,300.0,451.7400000000001
2026-02-25 20:36:00,181.25,56.763,72.9,238.013,160.79999999999998,300.0,453.25000000000017
2026-02-25 20:37:00,186.25,59.492,72.56,245.742,163.73999999999995,300.0,454.74857142857144
2026-02-25 20:38:00,191.25,62.271,72.22,253.52100000000002,166.7400000000002,300.0,456.2475000000002
2026-02-25 20:39:00,196.25,65.1,71.86,261.35,169.7399999999996,300.0,457.7466666666669
2026-02-25 20:40:00,201.25,67.979,71.5,269.229,172.7400000000003,300.0,459.246
2026-02-25 20:41:00,206.25,70.902,71.14,277.152,175.3800000000001,300.0,460.7127272727273
2026-02-25 20:42:00,211.25,73.851,70.77,285.101,176.93999999999988,300.0,462.06500000000005
2026-02-25 20:43:00,216.25,76.825,70.4,293.075,178.44000000000023,300.0,463.3246153846154
2026-02-25 20:44:00,221.25,79.825,70.02,301.075,180.0,300.0,464.5157142857143
2026-02-25 20:45:00,226.25,82.85,69.64,309.1,181.4999999999995,300.0,465.64800000000014
2026-02-25 20:46:00,231.25,85.901,69.26,317.151,183.06000000000012,300.0,466.7362500000001
2026-02-25 20:47:00,236.25,88.977,68.88,325.227,184.56000000000046,300.0,467.7847058823529
2026-02-25 20:48:00,241.25,92.079,68.49,333.329,186.11999999999938,300.0,468.8033333333334
2026-02-25 20:49:00,246.25,95.207,68.1,341.457,187.68,300.0,469.7968421052631
2026-02-25 20:50:00,251.25,98.36,67.71,349.61,189.18000000000035,300.0,470.7660000000001
2026-02-25 20:51:00,256.25,101.538,67.31,357.788,190.67999999999984,300.0,471.7142857142858
2026-02-25 20:52:00,261.25,104.743,66.91,365.993,192.2999999999999,300.0,472.65000000000003
2026-02-25 20:53:00,266.25,107.972,66.5,374.222,193.73999999999995,300.0,473.5669565217391
2026-02-25 20:54:00,271.25,111.228,66.1,382.478,195.36,300.0,474.4750000000001
2026-02-25 20:55:00,276.25,114.508,65.69,390.758,196.80000000000007,300.0,475.36799999999994
2026-02-25 20:56:00,281.25,117.81,65.27,399.06,198.1200000000004,300.0,476.24307692307696
2026-02-25 20:57:00,286.25,121.12,64.86,407.37,198.60000000000014,300.0,477.0711111111112
2026-02-25 20:58:00,291.25,124.438,64.45,415.688,199.07999999999987,300.0,477.85714285714283
2026-02-25 20:59:00,296.25,127.763,64.03,424.01300000000003,199.50000000000017,300.0,478.6034482758622
2026-02-25 21:00:00,301.25,131.096,63.61,432.346,199.9799999999999,300.0,499.9799999999982
